Date,Month,Income Source,Expense Category,Expense Type,Payment Mode,Amount,Income/Expense Indicator,Savings,Budget Allocated,Budget Remaining,Notes
2026-01-01,Jan-26,Salary,,N/A,Bank Transfer,88796,Income,88796,0,0,Monthly salary credited
2026-01-02,Jan-26,,Rent,Fixed,Bank Transfer,28000,Expense,-28000,28000,0,House rent payment
2026-01-05,Jan-26,,EMI,Fixed,Bank Transfer,9000,Expense,-9000,9000,0,Personal loan EMI
2026-01-07,Jan-26,,Groceries,Variable,UPI,2896,Expense,-2896,6451,3555,Supermarket groceries
2026-01-08,Jan-26,,Utilities,Fixed,Bank Transfer,1741,Expense,-1741,3901,2160,Electricity bill
2026-01-09,Jan-26,,Insurance,Fixed,Bank Transfer,3500,Expense,-3500,3500,0,Health insurance premium
2026-01-11,Jan-26,,Utilities,Fixed,UPI,1721,Expense,-1721,3901,2180,Internet / mobile bill
2026-01-12,Jan-26,,Food,Variable,Cash,1527,Expense,-1527,5963,4436,Dining out / office lunch
2026-01-16,Jan-26,,Shopping,Variable,UPI,6381,Expense,-6381,4857,-1524,Apparel / lifestyle purchase
2026-01-18,Jan-26,,Entertainment,Variable,UPI,1688,Expense,-1688,2609,921,Movies / subscriptions
2026-01-21,Jan-26,,Groceries,Variable,Cash,3113,Expense,-3113,6451,3338,Monthly essentials restock
2026-01-22,Jan-26,,Healthcare,Variable,UPI,1993,Expense,-1993,3785,1792,Health and wellness spend
2026-01-25,Jan-26,,Food,Variable,Cash,2064,Expense,-2064,5963,3899,Weekend food order
2026-01-27,Jan-26,,Travel,Variable,Cash,3859,Expense,-3859,4185,326,Cab / fuel / local travel
2026-02-01,Feb-26,Salary,,N/A,Bank Transfer,92904,Income,92904,0,0,Monthly salary credited
2026-02-02,Feb-26,,Rent,Fixed,Bank Transfer,28000,Expense,-28000,28000,0,House rent payment
2026-02-05,Feb-26,,EMI,Fixed,Bank Transfer,9000,Expense,-9000,9000,0,Personal loan EMI
2026-02-07,Feb-26,,Groceries,Variable,Credit Card,3401,Expense,-3401,6465,3064,Supermarket groceries
2026-02-08,Feb-26,,Utilities,Fixed,Bank Transfer,2387,Expense,-2387,3591,1204,Electricity bill
2026-02-11,Feb-26,,Utilities,Fixed,UPI,1856,Expense,-1856,3591,1735,Internet / mobile bill
2026-02-12,Feb-26,,Food,Variable,Cash,1206,Expense,-1206,5461,4255,Dining out / office lunch
2026-02-16,Feb-26,,Shopping,Variable,Credit Card,5658,Expense,-5658,4847,-811,Apparel / lifestyle purchase
2026-02-18,Feb-26,,Entertainment,Variable,Cash,2460,Expense,-2460,3434,974,Movies / subscriptions
2026-02-21,Feb-26,,Groceries,Variable,Credit Card,3123,Expense,-3123,6465,3342,Monthly essentials restock
2026-02-25,Feb-26,Freelance,,N/A,Bank Transfer,13876,Income,13876,0,0,Freelance project payment
2026-02-25,Feb-26,,Food,Variable,Credit Card,2673,Expense,-2673,5461,2788,Weekend food order
2026-02-26,Feb-26,,Education,Variable,Bank Transfer,3022,Expense,-3022,3049,27,Course / books / certification
2026-02-28,Feb-26,,Healthcare,Variable,UPI,4765,Expense,-4765,3632,-1133,Medicines / doctor consultation
2026-03-01,Mar-26,Salary,,N/A,Bank Transfer,93894,Income,93894,0,0,Monthly salary credited
